Material (compound);Physical property;Numerical value;Unit;Temperature;Reference;;;
EuCd2Sb2;ZT value;0.6;unitless;617 K;10.1016/j.intermet.2009.07.011;;;
EuCd2Sb2;ZT value;0.6;unitless;617 K;10.1016/j.intermet.2009.07.011;;;
EuCrO3;ZT value;0.12;dimensionless;300 K;10.1007/s42247-021-00256-9;;;
EuFe4Sb12;ZT value;0.25;unitless;300 K;10.1016/j.jallcom.2014.09.086;;;
EuFe4Sb12;ZT value;0.13;dimensionless;298.15 K;10.1007/s12648-016-0896-8;;;
EuGa2Sb2;ZT value;0.15;unitless;600 K;10.1016/j.mtphys.2017.06.003;;;
EuNi4P12;ZT value;0.4;dimensionless;900 K;10.1038/s41598-024-76538-z;;;
EuRu4As12;ZT value;0.51;dimensionless;298.15 K;10.1007/s10765-016-2112-7;;;
EuZn2Sb2;ZT value;0.92;dimensionless;750 K;10.1007/s10854-012-0820-8;;;
EuZn2Sb2;ZT value;0.92;unitless;330 °C;10.1016/j.rser.2013.03.008;;;
EuZn2Sb2;ZT value;0.9;unitless;700 K;10.1016/bs.hpcre.2016.05.003;;;
EuZn2Sb2;ZT value;0.98;dimensionless;720 K;10.1007/s11664-015-4303-6;;;
EuZn2Sb2;ZT value;0.98;dimensionless;720 K;10.1007/s11664-015-4303-6;;;
Exfoliated Bi2Se3 single-layer;ZT value;0.35;dimensionless;400 K;10.1007/s10853-024-09865-1;;;
Famatinite (undoped Cu3SbS4);ZT value;0.14;dimensionless;623 K;10.1007/s40042-023-00798-7;;;
Fe0.05Mo3Sb5.4Te1.6;ZT value;0.85;unitless;1023 K;10.1016/j.jallcom.2010.05.124;;;
Fe0.05Mo3Sb5.4Te1.6;ZT value;0.31;unitless;673 K;10.1016/j.jallcom.2010.05.124;;;
Fe0.05Mo3Sb5.4Te1.6;ZT value;0.31;unitless;673 K;10.1016/j.jallcom.2010.05.124;;;
Fe0.1Te0.872Sb0.003Se0.02;ZT value;0.76;dimensionless;580 K;10.1007/s10854-023-11796-7;;;
(Fe0.1Te0.872Sb0.003Se0.025);ZT value;0.76;dimensionless;580 K;10.1007/s10854-023-11796-7;;;
(Fe0.1Te0.9Sb0.003);ZT value;0.65;dimensionless;607 K;10.1007/s10854-023-11796-7;;;
Fe0.1Te0.9Sb0.003;ZT value;0.65;dimensionless;607 K;10.1007/s10854-023-11796-7;;;
Fe0.2Co3.8Sb11.4Te0.6;ZT value;0.86;unitless;793 K;10.1016/j.actamat.2013.07.032;;;
Fe0.2Co3.8Sb11.5Te0.5;ZT value;1.04;unitless;818 K;10.1016/j.actamat.2013.07.032;;;
Fe0.2Co3.8Sb11.5Te0.5;ZT value;1.04;unitless;818 K;10.1016/j.actamat.2013.07.032;;;
Fe0.2Co3.8Sb11.5Te0.5;ZT value;1.3;unitless;820 K;10.1016/j.actamat.2013.07.032;;;
Fe0.375Ni0.375Co0.25Sb3;ZT value;0.16;unitless;610 K;10.1016/j.jallcom.2006.11.037;;;
Fe0.375Ni0.375Co0.25Sb3;ZT value;0.16;unitless;610 K;10.1016/j.jallcom.2006.11.037;;;
Fe0.375Ni0.375Co0.25Sb3;ZT value;0.16;unitless;610 K;10.1016/j.jallcom.2006.11.037;;;
Fe0.3Co0.7Si;ZT value;4.00E-03;unitless;not specified;10.1016/j.jallcom.2017.01.217;;;
Fe0.6Co3.4Sb12;ZT value;0.09;unitless;550 K;10.1016/j.jallcom.2009.02.070;;;
Fe0.6Co3.4Sb12;ZT value;0.09;unitless;550 K;10.1016/j.jallcom.2009.02.070;;;
Fe0.6Co3.4Sb12;ZT value;0.09;unitless;550 K;10.1016/j.jallcom.2009.02.070;;;
(Fe0.7Co0.3)2VAl;ZT value;0.09;unitless;650 K;10.1016/j.jallcom.2009.05.032;;;
(Fe0.7Co0.3)2VAl;ZT value;0.09;unitless;650 K;10.1016/j.jallcom.2009.05.032;;;
Fe0.94Co0.06Si2.00;ZT value;0.25;unitless;908 K;10.1016/j.jallcom.2006.06.080;;;
Fe0.95Co0.05Ga3;ZT value;0.05;unitless;400 K;10.1016/j.jallcom.2014.04.117;;;
Fe0.95Co0.05Ga3;ZT value;0.05;unitless;400 K;10.1016/j.jallcom.2014.04.117;;;
Fe0.95Co0.05Ga3;ZT value;0.05;unitless;400 K;10.1016/j.jallcom.2014.04.117;;;
Fe0.95Co0.05Ga3;ZT value;0.05;unitless;400 K;10.1016/j.jallcom.2014.04.117;;;
Fe0.95Co0.05Si2;ZT value;0.182;unitless;923 K;10.1016/j.jallcom.2006.08.045;;;
Fe0.95Co0.05Si2;ZT value;0.182;unitless;923 K;10.1016/j.jallcom.2006.08.045;;;
Fe0.95Co0.05Si2;ZT value;0.182;unitless;923 K;10.1016/j.jallcom.2006.08.045;;;
Fe0.95Co0.05Si2;ZT value;0.182;unitless;923 K;10.1016/j.jallcom.2006.08.045;;;
Fe1.05Nb0.75Ti0.25Sb;ZT value;0.75;dimensionless;1023 K;10.1007/s11664-019-07919-8;;;
Fe1.98V0.97Ta0.05Al0.9Si0.1;ZT value;0.25;dimensionless;420 K;10.1007/s00339-022-05329-y;;;
Fe2As-doped Te;ZT value;1.4;dimensionless;623 K;10.1007/s12598-024-02880-w;;;
Fe2CoSi;ZT value;0.13;unitless;800 K;10.1016/j.commatsci.2015.07.001;;;
Fe2CrSb;ZT value;0.54;dimensionless;300 K;10.1007/s12034-021-02496-1;;;
Fe2CrSb;ZT value;0.67;dimensionless;800 K;10.1007/s12034-021-02496-1;;;
Fe2CrSb;ZT value;0.125;dimensionless;800 K;10.1007/s12034-021-02496-1;;;
Fe2CrSb;ZT value;0.54;dimensionless;300 K;10.1007/s12034-021-02496-1;;;
FeNbSb;ZT value;1.1;unitless;1100 K;10.1016/j.cocom.2017.10.002;;;
Fe2NbAl;ZT value;1.7;dimensionless;900 K;10.1038/s41535-024-00671-1;;;
Fe2NbAl;ZT value;0.66;dimensionless;300 K;10.1038/s41535-024-00671-1;;;
Fe2NbAl;ZT value;1.7;dimensionless;900 K;10.1038/s41535-024-00671-1;;;
Fe2NbAl;ZT value;1.7;dimensionless;900 K;10.1038/s41535-024-00671-1;;;
Fe2NbAl;ZT value;1.15;dimensionless;900 K;10.1038/s41535-024-00671-1;;;
Fe2NbAl;ZT value;0.71;dimensionless;300 K;10.1038/s41535-024-00671-1;;;
Fe2NbAl;ZT value;1.7;dimensionless;900 K;10.1038/s41535-024-00671-1;;;
Fe2NbAl;ZT value;0.66;dimensionless;300 K;10.1038/s41535-024-00671-1;;;
Fe2(Ti1−xNbx)O5;ZT value;0.006;unitless;1000 K;10.1016/j.jeurceramsoc.2017.06.027;;;
Fe2Ti1−xNbxO5;ZT value;0.006;unitless;1000 K;10.1016/j.jeurceramsoc.2017.06.027;;;
Fe2TiSn alloy;ZT value;0.0014;dimensionless;285 K;10.1007/s11664-019-07855-7;;;
Fe2TiSn alloy (milled in Ar; 3 h);ZT value;0.0014;dimensionless;285 K;10.1007/s11664-019-07855-7;;
Fe2TiSn alloy (milled in Ar for 3 h);ZT value;0.0014;dimensionless;285 K;10.1007/s11664-019-07855-7;;;
Fe2V0.6Ti0.3W0.1Al Heusler alloy;ZT value;0.13;dimensionless;450 K;10.1007/s11664-012-2433-7;;;
Fe2V0.8W0.2Al;ZT value;5;dimensionless;298.15 K;10.1038/s41586-019-1751-9;;;
Fe2V0.95Nb0.05Al;ZT value;0.04;unitless;370 K;10.1016/j.jallcom.2009.06.202;;;
Fe2V0.98Ta0.10Al0.92;ZT value;0.37;dimensionless;400 K;10.1007/s00339-022-05329-y;;;
Fe2V0.98Ta0.10Al0.92;ZT value;0.29;dimensionless;400 K;10.1007/s00339-022-05329-y;;;
Fe2V0.98Ta0.10Al0.92 (Heusler alloy);ZT value;0.29;dimensionless;400 K;10.1007/s00339-022-05329-y;;;
Fe2V0.98Ta0.10Al0.92 (Heusler alloy);ZT value;0.37;dimensionless;400 K;10.1007/s00339-022-05329-y;;;
Fe2V0.9W0.1Al;ZT value;0.21;dimensionless;400 K;10.1134/S1995078019040049;;;
Fe2VAl;ZT value;2.19E-03;unitless;309 K;10.1016/j.jallcom.2014.05.137;;;
Fe2VAl;ZT value;0.00219;unitless;not specified;10.1016/j.jallcom.2016.01.030;;;
Fe2VAl;ZT value;2.19E-03;unitless;309 K;10.1016/j.jallcom.2014.05.137;;;
Fe2VTa0.05Al0.95;ZT value;0.3;dimensionless;500 K;10.1007/s00339-022-05329-y;;;
Fe2−xTi1+xO5 (x = 0.25);ZT value;0.014;dimensionless;1000 K;10.1007/s10825-022-01918-5;;;
Ge0.85(Pb0.9Yb0.1)0.15Te;ZT value;1.4;unitless;723 K;10.1016/j.intermet.2014.09.004;;;
Fe3CoSb12-based skutterudite;ZT value;0.6;dimensionless;653 K;10.1038/s41467-024-48677-4;;;
FeCeSi;ZT value;0.003;dimensionless;1200 K;10.1007/s10948-024-06780-z;;;
FeCeSi;ZT value;0.82;dimensionless;800 K;10.1007/s10948-024-06780-z;;;
FeCeSi;ZT value;0.96;dimensionless;298.15 K;10.1007/s10948-024-06780-z;;;
FeCeSi;ZT value;0.9;dimensionless;500 K;10.1007/s10948-024-06780-z;;;
FeCu11Sb4Se13;ZT value;0.14;dimensionless;623 K;10.1007/s40042-025-01379-6;;;
FeCu11Sb4Se13;ZT value;0.14;dimensionless;623 K;10.1007/s40042-025-01379-6;;;
FeCu11Sb4Se13;ZT value;0.14;dimensionless;623 K;10.1007/s40042-025-01379-6;;;
Fe-doped Bi0.4Sb1.6Te3;ZT value;1.4;dimensionless;300 K;10.1007/s11708-022-0831-y;;;
Fe-doped Bi2Te3 (Bi1.7Fe0.3Te3);ZT value;0.57;dimensionless;300 K;10.1007/s11664-014-3438-1;;;
Fe-doped Bi2Te3 (Bi1.8Fe0.2Te3);ZT value;0.63;dimensionless;300 K;10.1007/s11664-014-3438-1;;;
Fe-doped Cu3SbS3 (Cu3Fe0.1Sb0.9S3; SPS);ZT value;0.71;dimensionless;350 °C;10.1007/s10854-021-05737-5;;
Fe-doped Cu3SbS3 (Fe 0.1; Sb 0.9) (hot pressing; t=10 min);ZT value;0.56;dimensionless;350 °C;10.1007/s10854-021-05737-5;
Fe-doped Cu3SbS3 (Fe 0.1; Sb 0.9) (hot pressing; t=30 min);ZT value;0.55;dimensionless;350 °C;10.1007/s10854-021-05737-5;
Fe-doped Cu3SbS3 (Fe 0.1; Sb 0.9) (hot pressing; t=45 min);ZT value;0.62;dimensionless;350 °C;10.1007/s10854-021-05737-5;
Fe-doped CuAlO2 (CuAl0.90Fe0.10O2);ZT value;0.014;dimensionless;1333 K;10.1007/s10854-016-5227-5;;;
Fe-doped In4Se3 (Fe0.05In3.95Se3);ZT value;0.44;dimensionless;723 K;10.1007/s11664-012-2392-z;;;
FeNb0.84Hf0.1Ti0.06Sb;ZT value;1.32;dimensionless;927 °C;10.1007/s11837-021-04976-5;;;
FeNb0.84Hf0.1Ti0.06Sb;ZT value;1.32;unitless;1200 K;10.1016/j.ensm.2017.07.014;;;
FeNb0.88Hf0.12Sb;ZT value;1;dimensionless;600 °C;10.1007/s11664-019-07514-x;;;
FeNb0.88Hf0.12Sb;ZT value;1;dimensionless;800 K;10.1007/s11664-019-07514-x;;;
FeNb0.88Hf0.12Sb;ZT value;1;dimensionless;600 °C;10.1007/s11664-019-07514-x;;;
FeNb0.88Hf0.12Sb;ZT value;1.5;dimensionless;927 °C;10.1007/s11837-021-04976-5;;;
FeNb0.9-xHf0.1TixSb;ZT value;1.32;unitless;1200 K;10.1016/j.ensm.2017.07.014;;;
FeNb1−xTixSb;ZT value;1.1;unitless;1100 K;10.1016/j.jallcom.2016.05.013;;;
FeNbSb;ZT value;1.5;dimensionless;1200 K;10.1007/s12598-019-01235-0;;;
FeNbSb half-Heusler alloy;ZT value;1.5;dimensionless;1200 K;10.1007/s11664-022-10110-1;;;
FeNiSb;ZT value;1.1;unitless;not specified;10.1016/j.physleta.2017.09.043;;;
Fe-rich p-type Yb0.3Fe0.5Mn0.2Co3.3Sb12;ZT value;0.42;dimensionless;723 K;10.1007/s42247-020-00092-3;;;
FeRuNbIn (quaternary Heusler alloy);ZT value;0.11;dimensionless;600 K;10.1007/s10948-022-06372-9;;;
FeRuNbIn (quaternary Heusler alloy);ZT value;0.22;dimensionless;1300 K;10.1007/s10948-022-06372-9;;;
FeSb1.8;ZT value;0.43;dimensionless;320 K;10.1007/s11664-021-09239-2;;;
FeSb1.8;ZT value;0.071;dimensionless;55 K;10.1007/s11664-021-09239-2;;;
FeSb2;ZT value;0.016;dimensionless;55 K;10.1007/s11664-021-09239-2;;;
FeSb2;ZT value;0.013;unitless;50 K;10.1016/j.jallcom.2014.04.139;;;
FeSb2;ZT value;0.005;unitless;10 K;10.1016/j.jallcom.2014.04.139;;;
FeSb2 nanostructured polycrystalline (hot pressed);ZT value;0.013;dimensionless;50 K;10.1007/s11664-021-09239-2;;;
FeSb2 nanostructured polycrystalline (solvothermal approach and SPS);ZT value;0.0018;dimensionless;60 K;10.1007/s11664-021-09239-2;;;
FeSb2 nanostructured polycrystalline (solvothermal approach and SPS);ZT value;0.006;dimensionless;300 K;10.1007/s11664-021-09239-2;;;
FeSb2 polycrystalline bulk (chemical synthesis and spark plasma sintering);ZT value;0.02;dimensionless;300 K;10.1007/s11664-021-09239-2;;;
FeSb2 single crystal;ZT value;0.005;dimensionless;12 K;10.1007/s11664-021-09239-2;;;
FeSb2Te;ZT value;0.024;unitless;300 K;10.1016/j.tsf.2013.09.068;;;
FeSe2;ZT value;0.057;dimensionless;600 K;10.1007/s13391-024-00527-7;;;
FeSe ultrathin film;ZT value;1.5;dimensionless;280 K;10.1038/s41467-019-08784-z;;;
FeSi;ZT value;3.00E-06;unitless;not specified;10.1016/j.jallcom.2017.01.217;;;
FeSi;ZT value;0.07;unitless;100 K;10.1016/j.jallcom.2014.04.139;;;
FeSi;ZT value;0.01;unitless;50 K;10.1016/j.jallcom.2014.04.139;;;
FeSi;ZT value;0.01;unitless;56 K;10.1016/j.jallcom.2017.01.217;;;
FeSi2;ZT value;0.4;unitless;700 K;10.1016/j.intermet.2015.07.015;;;
FeSi2;ZT value;0.3;unitless;1000 K;10.1016/j.nanoen.2012.10.005;;;
FeTe2;ZT value;0.0065;dimensionless;600 K;10.1007/s13391-022-00396-y;;;
FeTe2;ZT value;1.30E-02;dimensionless;599 K;10.1007/s10854-023-09915-5;;;
FeTe2;ZT value;0.0065;dimensionless;600 K;10.1007/s13391-022-00396-y;;;
FeV0.59Zr0.05Hf0.16Ti0.2Sb;ZT value;0.15;dimensionless;700 K;10.1007/s11665-023-08853-x;;;
FeV0.64Hf0.16Ti0.2Sb;ZT value;0.27;dimensionless;700 K;10.1007/s11665-023-08853-x;;;
FeV0.64Hf0.16Ti0.2Sb;ZT value;0.27;dimensionless;700 K;10.1007/s11665-023-08853-x;;;
FeV0.64Hf0.16Ti0.2Sb alloy;ZT value;0.27;dimensionless;700 K;10.1007/s11665-023-08853-x;;;
FeV0.8Ti0.4Sb;ZT value;0.43;unitless;500 °C;10.1016/j.jssc.2012.09.043;;;
FeV0.8Ti0.4Sb;ZT value;0.3;unitless;450 °C;10.1016/j.jssc.2012.09.043;;;
FeV0.8Ti0.4Sb;ZT value;0.43;unitless;500 °C;10.1016/j.jssc.2012.09.043;;;
FeV1.15Sb;ZT value;0.31;dimensionless;573 K;10.1007/s42341-018-0024-x;;;
FeV1.15Sb;ZT value;0.31;dimensionless;573 K;10.1134/S1995078019040049;;;
FeV1.15Sb;ZT value;0.31;unitless;573 K;10.1016/j.intermet.2012.07.037;;;
FeVSb;ZT value;0.25;unitless;550 K;10.1016/j.intermet.2012.07.037;;;
FeVSb;ZT value;0.25;dimensionless;550 K;10.1007/s11665-023-08853-x;;;
FeVSb;ZT value;0.25;unitless;550 K;10.1016/j.intermet.2012.07.037;;;
FeVSb;ZT value;0.25;unitless;550 K;10.1016/j.intermet.2012.07.037;;;
FeVSb;ZT value;0.06;dimensionless;700 K;10.1007/s11665-023-08853-x;;;
FeVSb half-Heusler phase;ZT value;0.8;dimensionless;500 K;10.1007/s11664-016-4804-y;;;
FexIn4xSe3 (x = 0.05);ZT value;0.44;dimensionless;723 K;10.1007/s11664-012-2392-z;;;
FeZrTe alloy;ZT value;1;dimensionless;513.41 K;10.1007/s11664-023-10369-y;;;
Ga0.025(Sn0.25Pb0.25Mn0.25Ge0.25)0.975Te;ZT value;1.5;dimensionless;823 K;10.1007/s12598-022-02032-y;;;
Ga0.3Co4Sb11.7Te0.3;ZT value;0.6;unitless;650 K;10.1016/j.intermet.2012.03.007;;;
Ga0.3Co4Sb11.7Te0.3;ZT value;0.6;unitless;650 K;10.1016/j.intermet.2012.03.007;;;
Ga0.3Co4Sb11.7Te0.3;ZT value;0.6;unitless;650 K;10.1016/j.intermet.2012.03.007;;;
Ga0.3Te0.3-doped Co4Sb11.7;ZT value;0.6;dimensionless;650 K;10.1007/s11661-017-4058-1;;;
Ga0.74In0.26P;ZT value;1.1;dimensionless;873 K;10.1038/s41535-018-0083-6;;;
(Ga0.8In0.2)0.45Co4Sb12;ZT value;1.1;dimensionless;402 °C;10.1007/s11837-021-04976-5;;;
Ga2Ru (hot-pressed sample);ZT value;0.3;dimensionless;780 K;10.1007/s11664-011-1543-y;;;
(Ga2Te3)0.1–(Bi0.5Sb1.5Te3)0.9;ZT value;1;unitless;335.5 K;10.1016/j.intermet.2007.05.004;;;
Ga2Te5;ZT value;0.21;unitless;631 K;10.1016/j.proeng.2011.12.438;;;
Ga66.6Ru33.4 (x = 0);ZT value;0.5;dimensionless;773 K;10.1007/s11664-011-1543-y;;;
Ga;Ag-codoped Bi0.42Sb1.5535Te3;ZT value;1.15;dimensionless;360 K;10.1007/s11664-014-3446-1;;
Ga;Ag-codoped Bi0.42Sb1.5535Te3;ZT value;1.15;dimensionless;360 K;10.1007/s11664-014-3446-1;;
Ga-doped Cu2CdSnSe4 (x = 0.10);ZT value;0.27;dimensionless;723 K;10.1038/srep09365;;;
Ga-doped Cu2Te (Cu1.97Ga0.03Te);ZT value;0.46;dimensionless;600 K;10.1038/s41598-019-43911-2;;;
Ga-doped CuSbTe2 (1% Ga);ZT value;0.076;dimensionless;453 K;10.1007/s42247-023-00602-z;;;
Ga-doped Pb7Bi4Se13 (5% Ga substitution);ZT value;1.35;dimensionless;800 K;10.1038/s41467-021-25119-z;;;
Ga-doped Pb7Bi4Se13 (x = 0.05);ZT value;1.35;dimensionless;800 K;10.1038/s41467-021-25119-z;;;
GaN;ZT value;0.0013;dimensionless;300 K;10.1007/s11664-010-1416-9;;;
GaP-doped SiGe nanoparticles (2.5%);ZT value;0.95;dimensionless;1200 K;10.1038/s41598-019-39786-y;;;
Ga-substituted Ca3Co4O9 (Ca3Co3.95Ga0.05O9);ZT value;0.45;dimensionless;1200 K;10.1007/s11664-011-1524-1;;;
GaTe bilayer;ZT value;0.82;dimensionless;700 K;10.1007/s40042-024-01253-x;;;
GaTe monolayer;ZT value;0.91;dimensionless;500 K;10.1007/s40042-024-01253-x;;;
Gd0.12Co4Sb12;ZT value;0.52;unitless;600 K;10.1016/j.matlet.2013.02.034;;;
Gd0.12Co4Sb12;ZT value;0.52;unitless;600 K;10.1016/j.matlet.2013.02.034;;;
Gd0.12Co4Sb12;ZT value;0.52;unitless;600 K;10.1016/j.matlet.2013.02.034;;;
Gd0.12Co4Sb12;ZT value;0.52;unitless;600 K;10.1016/j.matlet.2013.02.034;;;
Gd0.12Co4Sb12;ZT value;0.52;unitless;600 K;10.1016/j.matlet.2013.02.034;;;
GdCu4Au;ZT value;7.80E-04;unitless;room temperature;10.1016/j.jmmm.2016.04.049;;;
GdCu4Au;ZT value;5.10E-04;unitless;100 K;10.1016/j.jmmm.2016.04.049;;;
Gd-doped Bi2Te3 (0.5 at.%);ZT value;0.63;dimensionless;420 K;10.1007/s10717-022-00480-7;;;
Gd-doped polycrystalline p-type SnSe (Sn0.985Gd0.015Se);ZT value;1.1;dimensionless;873 K;10.1007/s40242-023-3120-3;;;
Gd-doped SnSe (1.5% Gd);ZT value;1.1;dimensionless;873 K;10.1007/s40242-023-3120-3;;;
Gd-doped SnSe (Sn0.985Gd0.015Se);ZT value;1.1;dimensionless;873 K;10.1007/s40242-023-3120-3;;;
Gd-doped SnSe (Sn0.985Gd0.015Se; p-type; polycrystalline);ZT value;1.1;dimensionless;873 K;10.1007/s40242-023-3120-3;
Gd-doped SnTe (Sn0.91Gd0.07Te);ZT value;0.8;dimensionless;850 K;10.1007/s40195-024-01790-1;;;
Gd-doped SnTe (Sn0.91Gd0.07Te);ZT value;0.8;dimensionless;850 K;10.1007/s40195-024-01790-1;;;
Gd-doped SnTe (Sn0.96Gd0.04Te);ZT value;1.5;dimensionless;900 K;10.1007/s40195-024-01790-1;;;
Gd-doped SnTe (Sn0.9Gd0.1Te);ZT value;0.4;dimensionless;700 K;10.1007/s40195-024-01790-1;;;
GdMnO3;ZT value;0.8;dimensionless;300 K;10.1007/s42247-021-00324-0;;;
GdNiSb;ZT value;0.32;dimensionless;800 K;10.1007/s00339-021-04983-y;;;
GdNiSb;ZT value;0.225;dimensionless;800 K;10.1007/s00339-021-04983-y;;;
GdNiSb;ZT value;0.12;dimensionless;300 K;10.1007/s00339-021-04983-y;;;
GdNiSb;ZT value;0.32;dimensionless;800 K;10.1007/s00339-021-04983-y;;;
GdPdBi;ZT value;0.084;dimensionless;469 K;10.1007/s10854-024-12546-z;;;
GdPdBi;ZT value;0.084;unitless;469 K;10.1016/j.nanoen.2012.10.005;;;
GdS1.43;ZT value;0.16;unitless;873 K;10.1016/j.jallcom.2007.04.078;;;
GdS1.43;ZT value;0.16;unitless;873 K;10.1016/j.jallcom.2007.04.078;;;
GdS1.43;ZT value;0.16;unitless;873 K;10.1016/j.jallcom.2007.04.078;;;
Ge0.2Sn0.8Te;ZT value;0.04;unitless;400 K;10.1016/j.jcrysgro.2007.02.036;;;
Ge0.2Sn0.8Te;ZT value;0.04;unitless;400 K;10.1016/j.jcrysgro.2007.02.036;;;
Ge0.55Bi0.2Pb0.25Se with 0.1 (In2Te3);ZT value;0.18;dimensionless;773 K;10.1007/s12598-024-02862-y;;;
Ge0.5Sn0.25Pb0.25Te;ZT value;1.2;unitless;not specified;10.1016/j.jallcom.2014.09.198;;;
(Ge0.6Pb0.4)0.88Bi0.12Te0.6Se0.4;ZT value;0.34;dimensionless;525 K;10.1038/s44287-023-00013-6;;;
Ge0.75Pb0.25Se with 0.1 (In2Te3);ZT value;0.75;dimensionless;775 K;10.1007/s12598-024-02862-y;;;
Ge0.75Pb0.25Te0.5Se0.5;ZT value;1.6;unitless;673 K;10.1016/j.actamat.2014.04.036;;;
Ge0.75Pb0.25Te0.5Se0.5;ZT value;1.6;unitless;673 K;10.1016/j.actamat.2014.04.036;;;
Ge0.75Pb0.25Te0.5Se0.5;ZT value;1.6;unitless;673 K;10.1016/j.actamat.2014.04.036;;;
(Ge0.7Bi0.3Se)0.7(AgSnTe2)0.3;ZT value;0.46;dimensionless;573 K;10.1007/s12598-024-02768-9;;;
(Ge0.84Sb0.06Te0.9)-(PbSe)0.05-(PbS)0.05;ZT value;2.2;dimensionless;773 K;10.1038/s41467-024-52645-3;;;
(Ge0.84Sb0.06Te0.9)-(PbSe)0.05-(PbS)0.05;ZT value;2.2;dimensionless;773 K;10.1038/s41467-024-52645-3;;;
(Ge0.84Sb0.06Te0.9)-(PbSe)0.05-(PbS)0.05;ZT value;2.2;dimensionless;773 K;10.1038/s41467-024-52645-3;;;
(Ge0.84Sb0.06Te0.9)(PbSe)0.05(PbS)0.05;ZT value;2.2;dimensionless;773 K;10.1038/s41467-024-52645-3;;;
Ge0.86Pb0.1Bi0.04Te;ZT value;1.5;dimensionless;750 K;10.1134/S106378262302015X;;;
Ge0.87Pb0.13Te;ZT value;1.9;unitless;773 K;10.1016/j.intermet.2014.09.004;;;
Ge0.87Pb0.13Te;ZT value;1.9;unitless;773 K;10.1016/j.jallcom.2016.04.306;;;
Ge0.87Pb0.13Te;ZT value;1.5;unitless;642 K;10.1016/j.jallcom.2014.09.198;;;
(Ge0.87Pb0.13)Te (p-type);ZT value;2.27;dimensionless;723 K;10.1007/s12034-024-03373-3;;;
Ge0.88Bi0.12Te;ZT value;1.4;dimensionless;740 K;10.1038/s41598-019-45071-9;;;
(Ge0.8Pb0.2)0.9Mn0.1Te;ZT value;1.3;unitless;723 K;10.1016/j.jallcom.2014.09.198;;;
(Ge0.8Pb0.2)0.9Mn0.1Te;ZT value;1.3;unitless;723 K;10.1016/j.jallcom.2014.09.198;;;
(Ge0.8Pb0.2)0.9Mn0.1Te;ZT value;1.3;unitless;723 K;10.1016/j.jallcom.2014.09.198;;;
Ge0.8Pb0.2Te0.5Se0.5;ZT value;0.92;unitless;673 K;10.1016/j.actamat.2014.04.036;;;
Ge0.907Sb0.093Te;ZT value;1.53;dimensionless;703 K;10.1007/s40195-023-01584-x;;;
Ge0.92Bi0.08Te;ZT value;1.6;dimensionless;740 K;10.1038/s41598-019-45071-9;;;
Ge0.94Bi0.06Te;ZT value;1.3;unitless;725 K;10.1016/j.jallcom.2017.02.295;;;
Ge0.95Bi0.05Te0.7Se0.3;ZT value;1.6;dimensionless;723 K;10.1007/s12598-023-02606-4;;;
Ge0.95Cu0.05Bi0.05Te0.9Se0.15;ZT value;1.87;dimensionless;623 K;10.1007/s12598-023-02606-4;;;
Ge0.95Mn0.05Te;ZT value;1.3;dimensionless;773 K;10.1007/s13391-014-4149-8;;;
Ge0.9Bi0.1Te;ZT value;1.9;dimensionless;740 K;10.1038/s41598-019-45071-9;;;
Ge0.9Pb0.1Te0.5Se0.5;ZT value;0.94;unitless;673 K;10.1016/j.actamat.2014.04.036;;;
Ge2Sb2Te3.9Se1.1;ZT value;0.71;dimensionless;800 K;10.1007/s12598-020-01476-4;;;
Ge2Sb2Te3.9Se1.1;ZT value;0.71;dimensionless;800 K;10.1007/s12598-020-01476-4;;;
Ge2Sb2Te4.9S0.1;ZT value;0.74;dimensionless;800 K;10.1007/s12598-020-01476-4;;;
Ge2Sb2Te4.9S0.1;ZT value;0.74;dimensionless;800 K;10.1007/s12598-020-01476-4;;;
Ge2Sb2Te5;ZT value;0.56;dimensionless;800 K;10.1007/s12598-020-01476-4;;;
Ge2SeTe;ZT value;3.52;dimensionless;550 K;10.1140/epjp/s13360-022-02996-x;;;
Ge2SeTe Janus monolayer;ZT value;2.12;dimensionless;298.15 K;10.1140/epjp/s13360-022-02996-x;;;
Ge49Te50Dy1;ZT value;0.04;unitless;300 K;10.1016/j.matchemphys.2017.01.038;;;
Ge49Te50Dy1;ZT value;1;unitless;720 K;10.1016/j.matchemphys.2017.01.038;;;
Hf0.6Zr0.4NiSn0.98Sb0.02;ZT value;0.84;unitless;790 K;10.1016/j.actamat.2009.02.026;;;
Ge4SbTe5;ZT value;1.5;dimensionless;823 K;10.1557/jmr.2015.124;;;
Ge4SbTe5;ZT value;1.5;dimensionless;823 K;10.1557/jmr.2015.124;;;
Ge; B co-doped Si (1% Ge; 2% B);ZT value;0.14;dimensionless;823 K;10.1007/s10853-022-07925-y;
Ge-doped Bi2O2Se1.01 (Bi1.9Ge0.1O2Se1.01);ZT value;0.238;dimensionless;780 K;10.1007/s11664-017-5952-4;;;
Ge-doped Bi2O2Se (Bi1.925Ge0.075O2Se1.01);ZT value;0.179;dimensionless;780 K;10.1007/s11664-017-5952-4;;;
Ge-doped Cu3SbS4 (Cu3Sb0.92Ge0.08S4);ZT value;0.55;dimensionless;623 K;10.1007/s40042-024-01044-4;;;
Ge-doped Cu3SbS4 (Cu3Sb0.92Ge0.08S4);ZT value;0.55;dimensionless;623 K;10.1007/s40042-024-01044-4;;;
